mOTUs2_clade	M1-stool	M10-stool	M11-stool	M13-stool	M14-stool	M16-stool	M17-stool	M19-stool	M2-stool	M20-stool	M21-stool	M3-stool	M4-stool	M5-stool	M6-stool	M7-stool	M8-stool	M9-stool	RD521-stool	RD522-stool
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	11	20	8	13	15	44	11	21	20	11	18	6	62	10	21	27	24	8	27	28
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter	11	20	8	13	15	44	11	21	20	11	18	6	62	10	21	27	24	8	27	28
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter species incertae sedis [ext_mOTU_v31_18903]	11	20	8	13	15	44	11	21	20	11	18	6	62	10	21	27	24	8	27	28
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	36	206	123	71	109	240	158	314	307	184	81	65	513	47	193	479	632	54	133	68
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	28	183	85	52	6	206	86	10	224	145	74	55	387	28	164	296	374	45	112	68
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellaceae gen. incertae sedis	8	23	38	19	103	34	72	304	83	39	7	10	126	19	29	183	258	9	21	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellaceae gen. incertae sedis|s__Prevotellaceae species incertae sedis [ext_mOTU_v31_18967]	3	11	21	12	65	20	43	183	50	23	4	6	65	11	16	110	155	6	13	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellaceae gen. incertae sedis|s__Prevotellaceae species incertae sedis [ext_mOTU_v31_18968]	5	12	17	7	38	14	29	121	33	16	3	4	61	8	13	73	103	3	8	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella species incertae sedis [ext_mOTU_v31_18861]	16	83	63	45	3	104	59	4	148	76	45	30	219	10	87	133	222	27	55	60
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella species incertae sedis [ext_mOTU_v31_18913]	12	100	22	7	3	102	27	6	76	69	29	25	168	18	77	163	152	18	57	8
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	66	245	66	189	116	511	217	266	409	164	125	98	711	96	177	450	530	106	233	142
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	66	245	66	189	116	511	217	266	409	164	125	98	711	96	177	450	530	106	233	142
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes species incertae sedis [ext_mOTU_v31_17391]	8	39	8	39	66	98	35	149	124	40	18	26	174	23	14	166	138	13	83	61
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes species incertae sedis [ext_mOTU_v31_18881]	28	41	26	9	7	159	15	3	60	35	45	16	174	19	60	83	103	55	60	5
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes species incertae sedis [ext_mOTU_v31_18901]	0	0	4	15	2	95	54	0	1	26	36	0	0	0	5	3	0	0	19	4
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes species incertae sedis [ext_mOTU_v31_18907]	22	126	19	67	25	90	86	80	171	53	20	39	264	37	59	139	228	27	41	42
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes species incertae sedis [ext_mOTU_v31_18934]	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes species incertae sedis [ext_mOTU_v31_18960]	5	20	7	35	2	53	17	22	39	8	3	10	62	14	30	32	38	7	13	16
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes species incertae sedis [ext_mOTU_v31_19005]	0	2	2	21	2	8	7	6	6	0	3	2	6	0	2	5	2	0	14	9
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes species incertae sedis [ext_mOTU_v31_19092]	3	9	0	3	3	5	0	1	3	2	0	3	14	3	3	11	16	4	3	2
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes species incertae sedis [ext_mOTU_v31_27138]	0	5	0	0	2	0	3	3	0	0	0	0	9	0	2	6	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes species incertae sedis [ext_mOTU_v31_34246]	0	3	0	0	6	3	0	2	4	0	0	2	8	0	2	5	5	0	0	3
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	3	23	6	29	141	24	52	206	30	10	3	7	38	4	5	46	43	6	11	26
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	3	23	6	29	141	24	52	206	30	10	3	7	38	4	5	46	43	6	11	26
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis [ref_mOTU_v31_03640]	3	20	5	25	133	19	47	165	28	10	3	6	35	4	5	38	40	4	8	20
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides goldsteinii [ref_mOTU_v31_01679]	0	3	1	4	8	5	5	41	2	0	0	1	3	0	0	8	3	2	3	6
k__Bacteria|p__Candidatus Melainabacteria	12	12	9	15	2	11	16	12	56	14	20	9	68	9	24	16	30	7	6	8
k__Bacteria|p__Candidatus Melainabacteria|c__Candidatus Melainabacteria class incertae sedis	12	12	9	15	2	11	16	12	56	14	20	9	68	9	24	16	30	7	6	8
k__Bacteria|p__Candidatus Melainabacteria|c__Candidatus Melainabacteria class incertae sedis|o__Candidatus Gastranaerophilales	2	3	3	0	2	4	13	9	34	5	8	5	9	6	3	10	17	0	2	2
k__Bacteria|p__Candidatus Melainabacteria|c__Candidatus Melainabacteria class incertae sedis|o__Candidatus Gastranaerophilales|f__Candidatus Gastranaerophilales fam. incertae sedis	2	3	3	0	2	4	13	9	34	5	8	5	9	6	3	10	17	0	2	2
k__Bacteria|p__Candidatus Melainabacteria|c__Candidatus Melainabacteria class incertae sedis|o__Candidatus Gastranaerophilales|f__Candidatus Gastranaerophilales fam. incertae sedis|g__Candidatus Gastranaerophilales gen. incertae sedis	2	3	3	0	2	4	13	9	34	5	8	5	9	6	3	10	17	0	2	2
k__Bacteria|p__Candidatus Melainabacteria|c__Candidatus Melainabacteria class incertae sedis|o__Candidatus Gastranaerophilales|f__Candidatus Gastranaerophilales fam. incertae sedis|g__Candidatus Gastranaerophilales gen. incertae sedis|s__Candidatus Gastranaerophilales species incertae sedis [ext_mOTU_v31_18976]	0	0	3	0	0	1	3	7	20	2	2	2	5	2	3	3	4	0	0	0
k__Bacteria|p__Candidatus Melainabacteria|c__Candidatus Melainabacteria class incertae sedis|o__Candidatus Gastranaerophilales|f__Candidatus Gastranaerophilales fam. incertae sedis|g__Candidatus Gastranaerophilales gen. incertae sedis|s__Candidatus Gastranaerophilales species incertae sedis [ext_mOTU_v31_23569]	2	3	0	0	2	3	10	2	14	3	6	3	4	4	0	7	13	0	2	2
k__Bacteria|p__Candidatus Melainabacteria|c__Candidatus Melainabacteria class incertae sedis|o__Candidatus Melainabacteria order incertae sedis	10	9	6	15	0	7	3	3	22	9	12	4	59	3	21	6	13	7	4	6
